;transcript_id;Raiz_Seca_logFC;logCPM;PValue;FDR;uniprot_name
65;TRINITY_DN10647_c0_g1_i9;3.0;5.1765;2.11e-11;7.05e-10;4CLLA_ARATH
66;TRINITY_DN10653_c0_g1_i5;-0.642;3.8239;1.53e-05;0.000128;CDPK8_ARATH
67;TRINITY_DN10654_c1_g1_i5;-1.83;3.2045;2.39e-07;3.07e-06;RNHX1_ARATH
68;TRINITY_DN10685_c0_g1_i19;1.11;5.1345;0.00133;0.00673;ACOX3_ARATH
69;TRINITY_DN10685_c0_g1_i19;1.11;5.1345;0.00133;0.00673;ACOX3_ARATH
70;TRINITY_DN10704_c0_g1_i1;-1.65;6.0773;0.000223;0.00145;CIPKP_ARATH
71;TRINITY_DN10704_c0_g1_i1;-1.65;6.0773;0.000223;0.00145;CIPKP_ARATH
72;TRINITY_DN10704_c0_g1_i1;-1.65;6.0773;0.000223;0.00145;CIPKP_ARATH
73;TRINITY_DN10704_c0_g1_i6;-1.88;5.0984;2.67e-06;2.76e-05;CIPK5_ARATH
74;TRINITY_DN10704_c0_g1_i6;-1.88;5.0984;2.67e-06;2.76e-05;CIPK5_ARATH
75;TRINITY_DN10704_c0_g1_i6;-1.88;5.0984;2.67e-06;2.76e-05;CIPK5_ARATH
76;TRINITY_DN1071_c0_g1_i22;-2.7;2.4392;1.53e-05;0.000128;PLA15_ARATH
77;TRINITY_DN1071_c0_g1_i22;-2.7;2.4392;1.53e-05;0.000128;PLA15_ARATH
78;TRINITY_DN1071_c0_g1_i22;-2.7;2.4392;1.53e-05;0.000128;PLA15_ARATH
79;TRINITY_DN1071_c0_g1_i22;-2.7;2.4392;1.53e-05;0.000128;PLA15_ARATH
80;TRINITY_DN1071_c0_g1_i22;-2.7;2.4392;1.53e-05;0.000128;PLA15_ARATH
81;TRINITY_DN1073_c0_g2_i6;-0.614;4.6799;1.88e-09;3.87e-08;DRL28_ARATH
82;TRINITY_DN10755_c0_g1_i10;1.74;3.094;3.83e-06;3.7e-05;TP7_TOBAC
83;TRINITY_DN10755_c0_g1_i2;2.9;5.7723;3.47e-08;5.46e-07;BETV6_BETPN
84;TRINITY_DN1077_c0_g1_i14;-3.5;4.1119;3.52e-21;1.3e-18;ACD6_ARATH
85;TRINITY_DN1077_c0_g1_i22;-9.31;4.9986;2.64e-11;8.8e-10;ACD6_ARATH
86;TRINITY_DN1077_c0_g1_i22;-9.31;4.9986;2.64e-11;8.8e-10;ACD6_ARATH
87;TRINITY_DN1077_c1_g1_i20;0.319;4.1584;0.00235;0.011;ODO2A_ARATH
88;TRINITY_DN1077_c1_g1_i20;0.319;4.1584;0.00235;0.011;ODO2A_ARATH
89;TRINITY_DN10784_c0_g1_i3;1.78;5.2402;2.85e-05;0.000233;TSJT1_TOBAC
90;TRINITY_DN10784_c0_g1_i3;1.78;5.2402;2.85e-05;0.000233;TSJT1_TOBAC
91;TRINITY_DN1081_c0_g1_i10;2.58;4.9128;5.24e-11;1.61e-09;UXS6_ARATH
92;TRINITY_DN1081_c0_g1_i17;2.04;5.6885;3.68e-06;3.7e-05;UXS5_ARATH
93;TRINITY_DN1081_c0_g1_i17;2.04;5.6885;3.68e-06;3.7e-05;UXS5_ARATH
94;TRINITY_DN1082_c1_g1_i2;-1.91;6.1985;6.45e-05;0.000465;LRL12_ARATH
95;TRINITY_DN1082_c1_g1_i2;-1.91;6.1985;6.45e-05;0.000465;LRL12_ARATH
96;TRINITY_DN1082_c1_g2_i5;-1.54;2.9582;3.06e-05;0.000237;LRL12_ARATH
97;TRINITY_DN1082_c1_g2_i5;-1.54;2.9582;3.06e-05;0.000237;LRL12_ARATH
98;TRINITY_DN1082_c1_g2_i5;-1.54;2.9582;3.06e-05;0.000237;LRL12_ARATH
99;TRINITY_DN1082_c1_g2_i5;-1.54;2.9582;3.06e-05;0.000237;LRL12_ARATH
100;TRINITY_DN1082_c1_g2_i5;-1.54;2.9582;3.06e-05;0.000237;LRL12_ARATH
101;TRINITY_DN1082_c1_g2_i5;-1.54;2.9582;3.06e-05;0.000237;LRL12_ARATH
102;TRINITY_DN1082_c1_g2_i5;-1.54;2.9582;3.06e-05;0.000237;LRL12_ARATH
103;TRINITY_DN1082_c1_g2_i9;-1.55;3.4605;2.39e-07;3.07e-06;LRL12_ARATH
104;TRINITY_DN1082_c1_g2_i9;-1.55;3.4605;2.39e-07;3.07e-06;LRL12_ARATH
105;TRINITY_DN1082_c1_g2_i9;-1.55;3.4605;2.39e-07;3.07e-06;LRL12_ARATH
106;TRINITY_DN1082_c1_g2_i9;-1.55;3.4605;2.39e-07;3.07e-06;LRL12_ARATH
107;TRINITY_DN1082_c1_g2_i9;-1.55;3.4605;2.39e-07;3.07e-06;LRL12_ARATH
108;TRINITY_DN1082_c1_g2_i9;-1.55;3.4605;2.39e-07;3.07e-06;LRL12_ARATH
109;TRINITY_DN1082_c1_g2_i9;-1.55;3.4605;2.39e-07;3.07e-06;LRL12_ARATH
110;TRINITY_DN10827_c0_g2_i2;1.22;5.5421;0.00023;0.0015;JMT2_THECC
111;TRINITY_DN10833_c0_g1_i1;-1.16;3.4761;3.83e-06;3.7e-05;Y5986_ARATH
112;TRINITY_DN10833_c0_g1_i1;-1.16;3.4761;3.83e-06;3.7e-05;Y5986_ARATH
113;TRINITY_DN10851_c0_g1_i11;-0.682;3.5972;0.000978;0.00506;APSR1_ARATH
114;TRINITY_DN10851_c0_g1_i11;-0.682;3.5972;0.000978;0.00506;APSR1_ARATH
115;TRINITY_DN10851_c0_g1_i11;-0.682;3.5972;0.000978;0.00506;APSR1_ARATH
116;TRINITY_DN10875_c0_g1_i1;0.352;4.6535;0.00937;0.0363;RAE1C_ARATH
117;TRINITY_DN10879_c3_g1_i1;-1.3;5.4104;6.84e-07;8.15e-06;ARFF_ARATH
118;TRINITY_DN10918_c0_g1_i9;0.765;4.3957;1.5e-08;2.53e-07;PSDE_ARATH
119;TRINITY_DN10918_c0_g1_i9;0.765;4.3957;1.5e-08;2.53e-07;PSDE_ARATH
120;TRINITY_DN10918_c0_g2_i2;-0.506;3.9147;0.00235;0.011;PSDE_ARATH
121;TRINITY_DN10964_c0_g1_i29;0.473;4.2542;0.000403;0.00242;SVP_ARATH
122;TRINITY_DN11002_c0_g1_i7;-1.75;4.1796;5.78e-14;3.5e-12;RPD6A_ARATH
123;TRINITY_DN11002_c0_g1_i7;-1.75;4.1796;5.78e-14;3.5e-12;RPD6A_ARATH
124;TRINITY_DN11005_c0_g1_i3;-0.909;4.5494;1.24e-07;1.71e-06;AB20B_ARATH
125;TRINITY_DN11024_c0_g2_i9;-0.76;3.9798;9.57e-07;1.06e-05;PLDA1_RICCO
126;TRINITY_DN11024_c0_g2_i9;-0.76;3.9798;9.57e-07;1.06e-05;PLDA1_RICCO
127;TRINITY_DN11032_c0_g1_i7;-2.74;2.2481;6.11e-05;0.000442;SYQ_LUPLU
128;TRINITY_DN11032_c0_g1_i7;-2.74;2.2481;6.11e-05;0.000442;SYQ_LUPLU
129;TRINITY_DN11032_c0_g1_i7;-2.74;2.2481;6.11e-05;0.000442;SYQ_LUPLU
130;TRINITY_DN11050_c0_g2_i2;-3.59;5.8746;5.56e-08;8.66e-07;FLZ5_ARATH
131;TRINITY_DN11050_c0_g2_i3;-3.03;6.0347;5.3e-08;8.27e-07;FLZ6_ARATH
132;TRINITY_DN1108_c0_g1_i3;1.47;6.2664;0.00773;0.0309;BXL1_ARATH
133;TRINITY_DN1108_c0_g2_i1;2.36;6.967;4.81e-05;0.000368;BXL1_ARATH
134;TRINITY_DN1108_c0_g2_i1;2.36;6.967;4.81e-05;0.000368;BXL1_ARATH
135;TRINITY_DN11101_c0_g1_i3;-0.967;2.898;0.000977;0.00506;GATL3_ARATH
136;TRINITY_DN1112_c0_g1_i3;-0.956;4.6309;7.36e-12;2.69e-10;LHW_ARATH
137;TRINITY_DN1113_c1_g1_i1;1.57;4.202;3.68e-12;1.44e-10;Y5986_ARATH
138;TRINITY_DN1113_c1_g1_i1;1.57;4.202;3.68e-12;1.44e-10;Y5986_ARATH
139;TRINITY_DN11137_c0_g1_i16;-2.21;4.741;5.539999999999999e-23;3.38e-20;APSR1_ARATH
140;TRINITY_DN11137_c0_g1_i16;-2.21;4.741;5.539999999999999e-23;3.38e-20;APSR1_ARATH
141;TRINITY_DN112_c0_g2_i15;-1.15;2.4234;0.00391;0.017;ACCO_PRUMU
142;TRINITY_DN112_c0_g2_i15;-1.15;2.4234;0.00391;0.017;ACCO_PRUMU
143;TRINITY_DN11243_c0_g1_i35;1.38;3.0627;3.06e-05;0.000237;CNG14_ARATH
144;TRINITY_DN11325_c0_g1_i11;-0.767;4.4134;7.5e-09;1.36e-07;BH035_ARATH
145;TRINITY_DN11325_c0_g1_i11;-0.767;4.4134;7.5e-09;1.36e-07;BH035_ARATH
146;TRINITY_DN11325_c0_g1_i11;-0.767;4.4134;7.5e-09;1.36e-07;BH035_ARATH
147;TRINITY_DN11341_c0_g1_i23;-0.85;3.2776;0.000244;0.00151;IAA13_ARATH
148;TRINITY_DN11341_c0_g1_i34;-0.495;5.1625;1.87e-07;2.57e-06;IAA13_ARATH
149;TRINITY_DN11371_c0_g2_i1;-2.82;3.5116;7.36e-12;2.69e-10;DI193_ARATH
150;TRINITY_DN11371_c0_g2_i1;-2.82;3.5116;7.36e-12;2.69e-10;DI193_ARATH
151;TRINITY_DN11371_c0_g2_i1;-2.82;3.5116;7.36e-12;2.69e-10;DI193_ARATH
152;TRINITY_DN1138_c0_g3_i2;-1.28;3.5806;4.79e-07;5.73e-06;5MMP_ARATH
153;TRINITY_DN1142_c0_g1_i1;-1.53;4.2796;4.61e-13;2.25e-11;MYB44_ARATH
154;TRINITY_DN1142_c0_g1_i1;-1.53;4.2796;4.61e-13;2.25e-11;MYB44_ARATH
155;TRINITY_DN1142_c0_g1_i3;-0.752;4.316;3e-08;4.73e-07;MYB44_ARATH
156;TRINITY_DN1142_c0_g1_i3;-0.752;4.316;3e-08;4.73e-07;MYB44_ARATH
157;TRINITY_DN1142_c0_g1_i3;-0.752;4.316;3e-08;4.73e-07;MYB44_ARATH
158;TRINITY_DN1142_c0_g1_i5;-1.31;4.336;7.36e-12;2.69e-10;MYB73_ARATH
159;TRINITY_DN1142_c0_g1_i5;-1.31;4.336;7.36e-12;2.69e-10;MYB73_ARATH
160;TRINITY_DN1142_c0_g1_i5;-1.31;4.336;7.36e-12;2.69e-10;MYB73_ARATH
161;TRINITY_DN1142_c0_g1_i7;-2.82;4.2911;1.4e-20;4.56e-18;MYB73_ARATH
162;TRINITY_DN1142_c0_g1_i7;-2.82;4.2911;1.4e-20;4.56e-18;MYB73_ARATH
163;TRINITY_DN11450_c0_g1_i10;1.51;2.6985;0.000244;0.00151;NANA_ARATH
164;TRINITY_DN11451_c0_g2_i1;1.18;4.2968;1.17e-10;3.18e-09;CFI1_FRAAN
165;TRINITY_DN11451_c0_g2_i1;1.18;4.2968;1.17e-10;3.18e-09;CFI1_FRAAN
166;TRINITY_DN11466_c0_g1_i2;-1.2;4.0403;1.88e-09;3.87e-08;BPS1_ARATH
167;TRINITY_DN11466_c0_g1_i2;-1.2;4.0403;1.88e-09;3.87e-08;BPS1_ARATH
168;TRINITY_DN11466_c0_g1_i21;-1.82;3.0088;9.57e-07;1.06e-05;BPS1_ARATH
169;TRINITY_DN11466_c0_g1_i21;-1.82;3.0088;9.57e-07;1.06e-05;BPS1_ARATH
170;TRINITY_DN1148_c0_g2_i1;-1.06;3.6457;1.91e-06;1.99e-05;VICHY_VICSN
171;TRINITY_DN11523_c0_g1_i1;2.71;3.3721;0.00133;0.00673;PS6AA_ARATH
172;TRINITY_DN11523_c0_g1_i23;0.764;4.4842;3.75e-09;7.23e-08;PRS6A_BRACM
173;TRINITY_DN1154_c0_g1_i3;-9.11;2.2283;9.57e-07;1.06e-05;HSL1_ARATH
174;TRINITY_DN11541_c1_g1_i11;-3.39;8.4707;5.79e-07;6.92e-06;ADH1_TRIRP
175;TRINITY_DN11541_c1_g1_i11;-3.39;8.4707;5.79e-07;6.92e-06;ADH1_TRIRP
176;TRINITY_DN11541_c1_g1_i11;-3.39;8.4707;5.79e-07;6.92e-06;ADH1_TRIRP
177;TRINITY_DN11541_c1_g1_i11;-3.39;8.4707;5.79e-07;6.92e-06;ADH1_TRIRP
178;TRINITY_DN11541_c1_g1_i18;-4.27;7.2843;2.97e-07;3.8e-06;ADH1_PEA
179;TRINITY_DN11541_c1_g1_i18;-4.27;7.2843;2.97e-07;3.8e-06;ADH1_PEA
180;TRINITY_DN11541_c1_g1_i18;-4.27;7.2843;2.97e-07;3.8e-06;ADH1_PEA
181;TRINITY_DN11549_c0_g1_i7;2.36;6.0963;5.13e-06;4.94e-05;E13G_TOBAC
182;TRINITY_DN11559_c0_g1_i1;-0.674;3.6248;3.06e-05;0.000237;CKL1_ARATH
183;TRINITY_DN11559_c0_g1_i1;-0.674;3.6248;3.06e-05;0.000237;CKL1_ARATH
184;TRINITY_DN11574_c0_g1_i2;1.23;2.5856;0.00195;0.00927;LIL31_ARATH
185;TRINITY_DN1159_c0_g1_i2;1.19;2.6009;0.00391;0.017;DR100_ARATH
186;TRINITY_DN1159_c0_g1_i2;1.19;2.6009;0.00391;0.017;DR100_ARATH
187;TRINITY_DN1159_c0_g1_i2;1.19;2.6009;0.00391;0.017;DR100_ARATH
188;TRINITY_DN11594_c0_g1_i3;1.94;6.6433;0.000259;0.00159;14KD_DAUCA
189;TRINITY_DN1162_c0_g1_i1;0.502;4.3143;1.1e-05;9.74e-05;WOX13_ARATH
190;TRINITY_DN1162_c0_g1_i1;0.502;4.3143;1.1e-05;9.74e-05;WOX13_ARATH
191;TRINITY_DN11688_c0_g1_i5;1.37;4.7625;9.07e-16;8.76e-14;RPN2_ARATH
192;TRINITY_DN11708_c0_g1_i13;5.05;2.0047;6.11e-05;0.000442;INVB_DAUCA
193;TRINITY_DN1172_c1_g1_i2;-0.849;4.6822;2.94e-11;9.17e-10;TOL5_ARATH
194;TRINITY_DN11725_c0_g2_i1;0.549;3.8825;0.00235;0.011;NAC35_ARATH
195;TRINITY_DN11725_c0_g2_i1;0.549;3.8825;0.00235;0.011;NAC35_ARATH
196;TRINITY_DN11746_c0_g1_i1;-2.47;3.3596;1.17e-10;3.18e-09;CIPK5_ARATH
197;TRINITY_DN11746_c0_g1_i1;-2.47;3.3596;1.17e-10;3.18e-09;CIPK5_ARATH
198;TRINITY_DN11746_c0_g1_i1;-2.47;3.3596;1.17e-10;3.18e-09;CIPK5_ARATH
199;TRINITY_DN11746_c0_g1_i1;-2.47;3.3596;1.17e-10;3.18e-09;CIPK5_ARATH
200;TRINITY_DN11746_c0_g1_i4;-4.0;3.778;3.57e-18;6.4e-16;CIPK5_ARATH
201;TRINITY_DN11746_c0_g1_i4;-4.0;3.778;3.57e-18;6.4e-16;CIPK5_ARATH
202;TRINITY_DN11746_c0_g1_i4;-4.0;3.778;3.57e-18;6.4e-16;CIPK5_ARATH
203;TRINITY_DN11747_c0_g1_i9;-1.13;4.2398;4.69e-10;1.11e-08;LPAI_ARATH
204;TRINITY_DN11747_c0_g1_i9;-1.13;4.2398;4.69e-10;1.11e-08;LPAI_ARATH
205;TRINITY_DN11747_c0_g1_i9;-1.13;4.2398;4.69e-10;1.11e-08;LPAI_ARATH
206;TRINITY_DN11747_c0_g1_i9;-1.13;4.2398;4.69e-10;1.11e-08;LPAI_ARATH
207;TRINITY_DN11747_c0_g1_i9;-1.13;4.2398;4.69e-10;1.11e-08;LPAI_ARATH
208;TRINITY_DN11747_c0_g1_i9;-1.13;4.2398;4.69e-10;1.11e-08;LPAI_ARATH
209;TRINITY_DN11747_c0_g1_i9;-1.13;4.2398;4.69e-10;1.11e-08;LPAI_ARATH
210;TRINITY_DN11771_c0_g1_i5;1.65;5.664;1.68e-05;0.00014;FQRL1_ARATH
211;TRINITY_DN1179_c0_g3_i1;1.1;4.1824;3.75e-09;7.23e-08;GDL16_ARATH
212;TRINITY_DN118_c0_g1_i17;-0.941;3.6224;0.000121;0.000817;CCT14_ARATH
213;TRINITY_DN11842_c0_g1_i1;1.71;5.6419;1.95e-05;0.000161;UGT2_GARJA
214;TRINITY_DN11896_c0_g1_i2;1.38;4.761;4.54e-16;4.77e-14;Y232_RICCO
215;TRINITY_DN11896_c0_g1_i3;1.25;5.3703;0.000579;0.00322;Y232_RICCO
216;TRINITY_DN11901_c0_g1_i12;-0.801;4.091;2.39e-07;3.07e-06;NRX1_ARATH
217;TRINITY_DN11997_c0_g1_i13;-0.496;4.527;5.99e-08;8.84e-07;SSC14_ARATH
218;TRINITY_DN12000_c0_g1_i8;2.39;6.0471;6.58e-05;0.000474;KLCR2_ARATH
219;TRINITY_DN12000_c0_g1_i8;2.39;6.0471;6.58e-05;0.000474;KLCR2_ARATH
220;TRINITY_DN12000_c0_g1_i8;2.39;6.0471;6.58e-05;0.000474;KLCR2_ARATH
221;TRINITY_DN12000_c0_g1_i8;2.39;6.0471;6.58e-05;0.000474;KLCR2_ARATH
222;TRINITY_DN12000_c0_g1_i8;2.39;6.0471;6.58e-05;0.000474;KLCR2_ARATH
223;TRINITY_DN12000_c0_g1_i8;2.39;6.0471;6.58e-05;0.000474;KLCR2_ARATH
224;TRINITY_DN1203_c0_g1_i15;1.22;2.1914;0.00782;0.0309;P2C64_ARATH
225;TRINITY_DN1204_c0_g1_i23;-2.4;4.664;1.3899999999999998e-23;9.8e-21;FBL3_ARATH
226;TRINITY_DN1204_c0_g1_i23;-2.4;4.664;1.3899999999999998e-23;9.8e-21;FBL3_ARATH
227;TRINITY_DN1204_c0_g1_i23;-2.4;4.664;1.3899999999999998e-23;9.8e-21;FBL3_ARATH
228;TRINITY_DN1204_c0_g1_i26;-0.669;4.4402;1.5e-08;2.53e-07;FBL3_ARATH
229;TRINITY_DN1204_c0_g1_i26;-0.669;4.4402;1.5e-08;2.53e-07;FBL3_ARATH
230;TRINITY_DN1204_c0_g1_i26;-0.669;4.4402;1.5e-08;2.53e-07;FBL3_ARATH
231;TRINITY_DN1204_c0_g1_i26;-0.669;4.4402;1.5e-08;2.53e-07;FBL3_ARATH
232;TRINITY_DN12132_c0_g2_i4;0.715;4.8517;2.94e-11;9.17e-10;PKL_ARATH
233;TRINITY_DN1214_c0_g1_i9;-0.696;4.5847;1.88e-09;3.87e-08;CYSZ_CUCMA
234;TRINITY_DN12151_c0_g1_i16;1.24;3.6366;4.79e-07;5.73e-06;PKP2_ARATH
235;TRINITY_DN12151_c0_g1_i16;1.24;3.6366;4.79e-07;5.73e-06;PKP2_ARATH
236;TRINITY_DN12155_c0_g1_i7;1.24;3.0374;0.000244;0.00151;IQD24_ARATH
237;TRINITY_DN12155_c0_g1_i7;1.24;3.0374;0.000244;0.00151;IQD24_ARATH
238;TRINITY_DN12155_c0_g1_i7;1.24;3.0374;0.000244;0.00151;IQD24_ARATH
239;TRINITY_DN1218_c0_g1_i15;1.54;3.3186;9.57e-07;1.06e-05;Y4744_ARATH
240;TRINITY_DN12199_c0_g2_i4;-1.92;4.4846;3.57e-18;6.4e-16;JMJ29_ARATH
241;TRINITY_DN1221_c0_g1_i12;-5.83;3.9328;5.43e-06;5.23e-05;IRE1A_ARATH
242;TRINITY_DN1221_c0_g1_i12;-5.83;3.9328;5.43e-06;5.23e-05;IRE1A_ARATH
243;TRINITY_DN12215_c0_g1_i7;-2.87;1.9122;0.00199;0.00943;ERF78_ARATH
244;TRINITY_DN1229_c0_g1_i2;-2.42;4.6521;3.48e-24;2.89e-21;PHYA_LATSA
245;TRINITY_DN1229_c0_g1_i2;-2.42;4.6521;3.48e-24;2.89e-21;PHYA_LATSA
246;TRINITY_DN12291_c0_g1_i4;-1.08;4.2125;9.38e-10;2.07e-08;REMO_SOLTU
247;TRINITY_DN12347_c0_g1_i6;2.24;3.5153;4.69e-10;1.11e-08;RGAP1_ARATH
248;TRINITY_DN12347_c0_g1_i6;2.24;3.5153;4.69e-10;1.11e-08;RGAP1_ARATH
249;TRINITY_DN12347_c0_g1_i6;2.24;3.5153;4.69e-10;1.11e-08;RGAP1_ARATH
250;TRINITY_DN12351_c0_g1_i17;-0.681;4.6644;2.48e-07;3.17e-06;TGH_ARATH
251;TRINITY_DN12351_c0_g1_i17;-0.681;4.6644;2.48e-07;3.17e-06;TGH_ARATH
252;TRINITY_DN12351_c0_g1_i17;-0.681;4.6644;2.48e-07;3.17e-06;TGH_ARATH
253;TRINITY_DN12351_c0_g1_i17;-0.681;4.6644;2.48e-07;3.17e-06;TGH_ARATH
